,Unnamed: 0,user,location,text,tweets
52,52,wbo16,Surrey ,"Anxiety Counselling, Treatment in Surrey and Middlesex
https://t.co/R3NMCEoMHs
#Anxiety #Anxietydisorder… https://t.co/HgfcSQ2WXF",anxiety counselling  treatment in surrey and middlesex  anxiety anxietydisorder  
53,53,ralucastana,"Copenhagen, Denmark",Tip 24: Slow down. Our society is in a constant acceleration. Set your own pace. Try with cooking:  just slow down… https://t.co/UO4SOm93Q4,tip 24  slow down  our society is in a constant acceleration  set your own pace  try with cooking  just slow down  
54,54,SickNotWeak,Canada,"An important message from a valued community member, with the cutest baby ever! Merry Christmas to you and yours… https://t.co/xlylKzFZcS",an important message from a valued community member  with the cutest baby ever  merry christmas to you and yours  
55,55,Mohamd_Ads,Egypt,"#Forgiveness  is the entry ticket to self- #healing  &amp; #love  is the entry ticket to #life 

#quote #REFLECTION… https://t.co/Xn2QS0pOy7",forgiveness is the entry ticket to self  healing  love is the entry ticket to life quote reflection  
56,56,EverydayHealth,United States,"Treat seasonal affective disorder like the #depression it is -- with diet, exercise, and the help of a professional. https://t.co/R1eSRb2t0g",treat seasonal affective disorder like the depression it is   with diet  exercise  and the help of a professional  
57,57,DulleyTopBooks,"North Vancouver, B.C. Canada","@sharonePack May the wisdom of #God's Word bring us ALL #Christ #Jesus' heart without delay
#PrayerForLove… https://t.co/3YIRGLr8SX",may the wisdom of gods word bring u all christ jesus  heart without delay prayerforlove  
58,58,HandnHandAU,Australia,"From all of our team here, we wish you a lovely holiday season! Stay safe and enjoy the celebrations - you've earne… https://t.co/3RI36bBryy",from all of our team here  we wish you a lovely holiday season  stay safe and enjoy the celebration  youve earne  
59,59,InnerBuoyancy,,🌨 Get out of your head. Be present. Enjoy the moment. Do not overthink it. #anxiety, get out of your head  be present  enjoy the moment  do not overthink it  anxiety
60,60,AMI_dogfriend,"Kawit, Cavite","Check this video out 😊 
It can help you, hoomans 🐾

https://t.co/4XGlF5DrZM

#Mentalhealth #MentalHealthMatters… https://t.co/zni5Z4Joiy",check this video out  it can help you  hoomans   mentalhealth mentalhealthmatters  
61,61,DulleyTopBooks,"North Vancouver, B.C. Canada","May the wisdom of #God's Word bring us ALL #Christ #Jesus' heart without delay
#PrayerForLove
#PrayerForHope… https://t.co/iudUbTyzqB",may the wisdom of gods word bring u all christ jesus  heart without delay prayerforlove prayerforhope  
62,62,freeupcm,,"❤ Don't be afraid to reach out for help. And if you know of a person that is having a difficult time, check-in and… https://t.co/MnSkzYYuS3", dont be afraid to reach out for help  and if you know of a person that is having a difficult time  checkin and  
63,63,lynnivere,"Texas, USA","ALL OR NOTHING | 12.24.2020

Something off??

Whilst the moon 🌙 is in Taurus ♉️ today, you’ll feel a calm even harm… https://t.co/n2jVDJO7Xn",all or nothing  1224  2020 something off   whilst the moon  is in taurus   today  you  ll feel a calm even harm  
64,64,vmedoapp,"Bengaluru, Karnataka","Read from our Blog here!
Get to know how to avoid gaining unnecessary weight!
https://t.co/itAWQDtPfp
#weightloss… https://t.co/QeX7z2Am9r",read from our blog here  get to know how to avoid gaining unnecessary weight   weightloss  
65,65,HeavenRimms,,"Very Open minded!
@PsychToday
#psychology #mentalhealth #Loveyourself https://t.co/dMG2tmbpb8",very open minded  psychology mentalhealth loveyourself 
66,66,Connect4SDGoals,Africa,"@threadreaderapp Let's roll

Family and Relationship matter by @FFAdejumo

#mentorship #mentalhealth #mindfullness… https://t.co/7nyiaPXwxh",lets roll family and relationship matter by mentorship mentalhealth mindfullness  
67,67,duhzintmattr,the corner of wtf and oh wow,"Don't do drugs, kids.
#Christmas #MerryChristmas #christmaslove #mentalhealth https://t.co/XskaWs2dHI",dont do drug  kid  christmas merrychristmas christmaslove mentalhealth 
68,68,TheTwinPowers,"Edmonton, Canada","Be #mindful that the #memory often transcends the #experience.

.

#aware 
#mentalhealth 
#awareness #growth… https://t.co/h7tr97kZUz",be mindful that the memory often transcends the experience nn aware mentalhealth awareness growth  
69,69,skinbycilla,"salinas, ca","Lately, I’ve been feeling like “this is the year I’m going to die.” Not like in a suicide kind of way but more of l… https://t.co/Ib8Y1pZM04",lately  i  ve been feeling like  this is the year i  m going to die   not like in a suicide kind of way but more of l  
70,70,WebSlinger_89,,#Anxiety is through the roof... Can't take it anymore.. feel like I'm going to have a nervous breakdown! 😨,anxiety is through the roof  cant take it anymore  feel like im going to have a nervous breakdown  
71,71,poojagarg1111,,"Have you heard of ""xanthophobia"" before?

 If you haven't, then don't feel bad because you're not alone. 'Xantho' r… https://t.co/RoVKL56UlJ",have you heard of  xanthophobia  before  if you havent  then dont feel bad because youre not alone   xantho  r  
72,72,ericknaturals,"Dar es Salaam, Tanzania",10 Conditions that are helped with massage therapy #reflexologytherapy  #reflexology #reflexologytreats… https://t.co/dS9VYMvGpD,10 conditions that are helped with massage therapy reflexologytherapy reflexology reflexologytreats  
73,73,ed_bianchi,"Florida, USA","Like with Pathogenic parenting behaviors - Alienators

 #mentalhealth #narcissisticabuse #childabuse #divorce… https://t.co/Nux7v99Q5v",like with pathogenic parenting behavior  alienators mentalhealth narcissisticabuse childabuse divorce  
74,74,Arpan_CSA,"Mumbai, India",You don't have to struggle in silence while dealing with stressors. Reach out to Arpan for free counselling on our… https://t.co/VZ34fat7te,you dont have to struggle in silence while dealing with stressor  reach out to arpan for free counselling on our  
75,75,marvoixxx,fcking lost,Pls tell me I’m making the right decision. Everyone around me seems to think I’m wasting my time deciding that I’m… https://t.co/s7V1oNxgWO,pls tell me i  m making the right decision  everyone around me seems to think i  m wasting my time deciding that i  m  
76,76,pqpolitics,"Vancouver, BC",@j_mcelroy Many BCers w/ #ADHD &amp; other #MentalHealth conditions can't afford to see a counsellor unless they have e… https://t.co/j4YCLmHXjP,many bcers w  adhd  other mentalhealth condition cant afford to see a counsellor unless they have e  
77,77,SkypeTherapist,"Boulder CO, USA",Talk with a Therapist Online by Skype for effective help with #Anxiety and #Depression. Go to: … https://t.co/o8alUYbDlV,talk with a therapist online by skype for effective help with anxiety and depression  go to   
78,78,toffo5,,"#MentalHealth conversation starters:
👌🏿”Are you okay?” (Ask question &amp; mean it)
👁”I’ve noticed that..” (Open the qu… https://t.co/umYqCbPkLq",mentalhealth conversation starter     are you okay    ask question  mean it    i  ve noticed that    open the qu  
79,79,KelseyMae11,Wherever Carmen Sandiego is.,22 vets commit suicide everyday. This video is great insight to the struggles many vets face everyday. Please share… https://t.co/Oi2uYTEyYX,22 vet commit suicide everyday  this video is great insight to the struggle many vet face everyday  please share  
80,80,SarahKBrandis,London,"My Mother Resented Me | Here’s how I’ve learned to love myself https://t.co/c629ivOONJ
#mentalhealth #depression https://t.co/fJoQueHp3N",my mother resented me  here  s how i  ve learned to love myself  mentalhealth depression 
81,81,olaideolawuwo,"Nigeria, Global",Some #women even have men friends. Just to 'make ends meet'. They travel with these men in the name of official dut… https://t.co/1zpuM8wYE8,some women even have men friend  just to  make end meet   they travel with these men in the name of official dut  
82,82,srinipillay,"Cambridge, MA",A Harvard psychiatrist explains why we 'choke' in stressful situations https://t.co/lMBEa9TEqT #MentalHealth #StressTips,a harvard psychiatrist explains why we  choke  in stressful situation  mentalhealth stresstips
83,83,Linda73017265,,"I wrote this poem after my husband of 33 years passed of cancer. Now, I hope this brings comfort to others in these… https://t.co/bhgO6M6AVU",i wrote this poem after my husband of 33 year passed of cancer  now  i hope this brings comfort to others in these  
84,84,ranveerbrar,"Mumbai, Maharashtra",Sometimes it's best to look away from anxiety and look towards light and hope.. 2021...you better be good!!… https://t.co/F06POC2oCH,sometimes its best to look away from anxiety and look towards light and hope  2021  you better be good    
85,85,JohnChackoET,"New Delhi, India","How Covid-19 has reshaped therapy. #ETPodcast hosted by @DevinaET   Guests: @rvemp, Ishita Pateria and… https://t.co/priI8notuD",how covid  19 ha reshaped therapy  etpodcast hosted by guests   ishita pateria and  
86,86,AspiringSciMom,Northern Ireland,"#Hey #Twitter
I’ve been quiet &amp; off Twitter for a while. My #mentalhealth has taken a nosedive.
There was a dark cl… https://t.co/rOJPXkrSKA",hey twitter i  ve been quiet  off twitter for a while  my mentalhealth ha taken a nosedive  there wa a dark cl  
87,87,Doturbanplanner,"Sydney, New South Wales","#Christmas can be a tricky time for people normally, but this Christmas, with so many people away from family and f… https://t.co/6suJER7f3G",christmas can be a tricky time for people normally  but this christmas  with so many people away from family and f  
88,88,deeksshitha,INDIA,One Major issue that people don't talk about is ABUSE.The word by itself has been shunned 2 b used This series is t… https://t.co/1nb37skL2c,one major issue that people dont talk about is abusethe word by itself ha been shunned 2 b used this series is t  
89,89,TylerRichMFT,"Las Vegas, NV",Belonging to the gay community does not in and of itself create mental health issues. Many within the community sti… https://t.co/tAM0inNT4l,belonging to the gay community doe not in and of itself create mental health issue  many within the community sti  
90,90,Texasblaze69,"Texas, USA",I know this is true; but temporary has been a long time. I’ve missed my grandchildren’s birthdays and all the holid… https://t.co/biljd4o2wF,i know this is true  but temporary ha been a long time  i  ve missed my grandchild  s birthday and all the holid  
91,91,BetterMeHealth1,"New Delhi, India","Affirm yourself! 🌿

tags:
#Mentalhealth #AffirmYourself https://t.co/M5jxqE4nco",affirm yourself   tag  mentalhealth affirmyourself 
92,92,shubhrata_p,"New Delhi, India",Do read this very informative thread on 'toxic' positivity and how it is different from having a positive mindset.… https://t.co/9VufUhDIaB,do read this very informative thread on  toxic  positivity and how it is different from having a positive mindset   
93,93,HemanNamo,New Delhi,@SureshNakhua @smritiirani I always say congress doesn’t have content. To attack Smriti ji for taking a bribe from… https://t.co/s0yORpE7D7,i always say congress doesn  t have content  to attack smriti ji for taking a bribe from  
94,94,RieOfLetters,Boston-ish via Texas,"A good read on #Mindfulness practice in the shower. This is definitely worth a try, especially if you find the prac… https://t.co/xlJNiOrncX",a good read on mindfulness practice in the shower  this is definitely worth a try  especially if you find the prac  
95,95,nath_rosalin,,"Oral health check-up camp at Rosalin Child Development Centre,Lucknow for children with special needs.… https://t.co/SipM4DMs1g",oral health checkup camp at rosalin child development centre  lucknow for child with special need   
96,96,gypsy_lost,,"Those Grinch photos I keep seeing on social media? Quit sharing those. Share this instead, because trauma is never… https://t.co/g8EVOLKfoH",those grinch photo i keep seeing on social medium  quit sharing those  share this instead  because trauma is never  
97,97,LadiesGoals,,"""Life becomes more peaceful when you eliminate toxic people and toxic habits."" 

Image Credit: Macrovector via… https://t.co/t2lGlkBT7o", life becomes more peaceful when you eliminate toxic people and toxic habit   image credit  macrovector via  
98,98,Linda73017265,,I wrote this poem when my husband of 33 years was in his final stage of cancer. He asked me to read it at his funer… https://t.co/5YPe9xrYuV,i wrote this poem when my husband of 33 year wa in his final stage of cancer  he asked me to read it at his funer  
99,99,Inspirer_W,Kigali Rwanda,"Retweet to spread AWARENESS!

Daily Healing Voice by @inspirer_w 

#Motivation #inspiration #quotes #quotesoftheday… https://t.co/ssXzKocN0F",retweet to spread awareness  daily healing voice by motivation inspiration quotes quotesoftheday  
100,100,VonSwain,United States,"Twitch thinks I am the best, click here to find out   #MawEnergy #MentalHealth #WolvesRecruit

https://t.co/lCxB0gXjPy",twitch think i am the best  click here to find out mawenergy mentalhealth wolvesrecruit 
101,101,SkypeTherapist,"Boulder CO, USA",Online Mindfulness Therapy for #Anxiety. Contact me to learn more about online mindfulness therapy for the treatmen… https://t.co/FqLy7qfrUA,online mindfulness therapy for anxiety  contact me to learn more about online mindfulness therapy for the treatmen  
102,102,Sinikiwe_,,"I be like I don't care then I wake up to a wave of anxiety 

#anxiety https://t.co/eiPRDUK7oT",i be like i dont care then i wake up to a wave of anxiety anxiety 
103,103,meetcounsellors,,You may find doors to reach the best place in your life. Knocking and opening the doors are still under your 𝗿𝗲𝘀𝗽𝗼𝗻… https://t.co/LLROuQvG3U,you may find door to reach the best place in your life  knocking and opening the door are still under your   
104,104,growingupbipola,"Ocean Beach, San Diego CA","For me existing means to accept, absorb and learn from all experiences, both good and bad. I don't like it but I ha… https://t.co/MX6R9xXlXR",for me existing mean to accept  absorb and learn from all experience  both good and bad  i dont like it but i ha  
105,105,AccordingtoJexi,"New Jersey, USA",Having a mentally ill teenage girl is exhausting!  Can anyone else relate? #mentalhealth #MentalHealthMatters #momlife,having a mentally ill teenage girl is exhausting  can anyone else relate  mentalhealth mentalhealthmatters momlife
106,106,getmeds_ph,,"If you’re dealing with back pain, yoga may be just be what you need

Read more @getmeds_ph 

.

.

.

#health… https://t.co/K5VjoadIYx",if you  re dealing with back pain  yoga may be just be what you need read more nnnn health  
107,107,chandra_avdhesh,"New Delhi, Delhi","2⃣0⃣2⃣0⃣ has been a challenging year. As we usher in the #newyear, remember we’re in this together ❤️. Look out for… https://t.co/alqicWr85f",2  0  2  0  ha been a challenging year  as we usher in the newyear  remember we  re in this together    look out for  
108,108,oopenspace,"Riverside, Westlands Nairobi.","How to look after your #mentalhealth this Christmas 

#merrychristmas 

#StaySafe #StayHealthy… https://t.co/8pPZ1fFgtW",how to look after your mentalhealth this christmas merrychristmas staysafe stayhealthy  
109,109,ecbell86,Brisbane,Four weeks of pranayama breathing exercises reduces #anxiety and is linked to positive changes in the brain… https://t.co/kcMWvPYWYp,four week of pranayama breathing exercise reduces anxiety and is linked to positive change in the brain  
110,110,_thebastion_,New Delhi,"When we speak of deprived communities, we have to start thinking in a framework of ‘mental justice’, because it is… https://t.co/GKdqZUBSOv",when we speak of deprived community  we have to start thinking in a framework of  mental justice   because it is  
111,111,blacklotus_app,Bangalore,"Quote of the day

#Mindfulness #mentalhealth #motivation #quote https://t.co/ssy7etkhAn",quote of the day mindfulness mentalhealth motivation quote 
112,112,MeHeLP6,"Leicester, England","Be easy on yourself.
Your illness doesn't define you.
#MentalHealth #MentalHealthMatters #selfcare… https://t.co/lT9HFqJsnm",be easy on yourself  your illness doesnt define you  mentalhealth mentalhealthmatters selfcare  
113,113,TheMindsJournal,United States,"17 Connections Between A Narcissist And Their Victim With Anxiety Disorder! Know more below - 

@KirstenOCorley… https://t.co/EG61ZxFE6u",17 connections between a narcissist and their victim with anxiety disorder  know more below   
114,114,MirrorNow,India,"What are the reasons that make you uncomfortable with talking about subjects surrounding #MentalHealth?

For most u… https://t.co/weDhjmDT4K",what are the reason that make you uncomfortable with talking about subject surrounding mentalhealth  for most u  
115,115,MirrorNow,India,"Watch @tanvishukla in conversation with Therapist, @DivijaBhasin on normalising #MentalHealth conversations and why… https://t.co/HnxTn7kx7V",watch in conversation with therapist  on normalising mentalhealth conversation and why  
116,116,allevin18,"Minneapolis, MN",Please Retweet!--#SelfCare in the shower???? It's not what you're thinking 🤣🙃😜 #Mindfulness helps to fend off neg t… https://t.co/d6Q8yHVcjs,please retweet    selfcare in the shower    its not what youre thinking    mindfulness help to fend off neg t  
117,117,AcesMatter,,"Last Minute Giving? Give someone the gift of mental health this season. https://t.co/SKTWYLcG9U

Support The Cause,… https://t.co/0eLK4frxMv",last minute giving  give someone the gift of mental health this season   support the cause   
118,118,allevin18,"Minneapolis, MN",Men need to know it's okay to talk about their feelings. Men need to know it's okay to reach out for help.… https://t.co/oMQqOnM1Cv,men need to know its okay to talk about their feeling  men need to know its okay to reach out for help   
119,119,adhdjobsquad,US,Does #ADHD #anxiety get in the way when you have to pin point your #careergoals? Have you been thinking of setting… https://t.co/ObtZlBPinr,does adhd anxiety get in the way when you have to pin point your careergoals  have you been thinking of setting  
120,120,PsychiatricNews,"Washington, DC","With the marketing clearance, NightWare becomes the first prescription therapeutic for nightmare disorder or nightm… https://t.co/HxTJ6nJgkJ",with the marketing clearance  nightware becomes the first prescription therapeutic for nightmare disorder or nightm  
121,121,m4m_space,Thailand,"Depression and anxiety in young people

#m4m #Soulfulcorners #team #depression #anxiety #mentalhealth #livenow… https://t.co/E2YnRR6Uec",depression and anxiety in young people m4m soulfulcorners team depression anxiety mentalhealth livenow  
122,122,m4m_space,Thailand,"Depression and anxiety in young people

#m4m #Soulfulcorners #team #depression #anxiety #mentalhealth #livenow… https://t.co/DQHnWjbh5M",depression and anxiety in young people m4m soulfulcorners team depression anxiety mentalhealth livenow  
